policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
4294,LV,Passenger car,Regular,81,1655,Tumši zila,2006,8,TOYOTA,COROLLA,Benzine,1,0,140,70,151.7,5200,1,2014
4295,LV,Passenger car,Regular,81,1655,Tumši zila,2006,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,198.6,5600,1,2013
4296,LV,Passenger car,Regular,81,1655,Tumši zila,2006,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,179.2,6740,1.002739726,2012
4297,LV,Passenger car,Regular,81,1655,Tumši zila,2006,8,TOYOTA,COROLLA,Benzine,1,0,140,70,202.7,7700,1,2014
4298,LV,Passenger car,Regular,81,1655,Tumši zila,2006,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,224.2,8000,1,2013
4299,LV,Passenger car,Regular,81,1655,Tumši zila,2006,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,257.4,8300,1,2012
4300,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,7,TOYOTA,COROLLA,Benzine,1,0,140,70,195,7690,0.671232877,2014
4301,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,263.5,8040,1,2013
4302,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,5,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,64.3,8510,0.254794521,2012
4303,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,5,TOYOTA,COROLLA,Benzine,1,1,142.29,71.14,192.9,9310,0.753424658,2012
4304,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,243.7,9260,1,2013
4305,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,5,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,277.8,9730,1,2012
4306,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,6,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,290.9,9380,1,2013
