policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
1,LV,Passenger car,Regular,77,1940,Gaiši bruna,2007,6,VOLKSWAGEN,JETTA,Diesel,0,0,142.29,42.69,250.9,8140,1,2013
2,LV,Passenger car,Regular,85,2500,Tumši zila,2001,12,VOLKSWAGEN,SHARAN,Diesel,0,0,142.29,42.69,109.5,5710,0.575342466,2013
3,LV,Passenger car,Regular,110,2180,Melna,2006,8,OPEL,VECTRA STATION WAGON,Diesel,0,0,140,70,284.5,6460,1,2014
4,LV,Passenger car,Regular,103,2210,Tumši peleka,2012,2,VOLKSWAGEN,PASSAT,Diesel,1,1,142.29,42.69,525.4,22190,1,2014
5,LV,Passenger car,Regular,70,1460,Melna,2007,6,MITSUBISHI,COLT,Benzine,1,0,140,70,348.9,4500,1,2013
6,LV,Passenger car,Regular,61,1510,Oranža,2006,6,HONDA,JAZZ,Benzine,0,1,142.29,71.14,180.4,5180,0.591780822,2012
7,LV,Passenger car,Regular,73,1535,Bruna,2013,1,HONDA,JAZZ,Benzine,1,1,140,70,506.8,18320,1,2014
8,LV,Passenger car,Regular,73,1535,Bruna,2013,0,HONDA,JAZZ,Benzine,0,1,140,70,502.9,18320,1,2013
9,LV,Passenger car,Regular,62,1500,Gaiši zila,2004,8,HYUNDAI,GETZ,Benzine,0,0,142.29,71.14,-0.9,2620,0.032876712,2012
10,LV,Passenger car,Regular,55,1450,Tumši zila,2003,11,PEUGEOT,206,Benzine,1,0,140,70,42.2,3550,0.279452055,2014
11,LV,Passenger car,Regular,65,1640,Gaiši peleka,2007,5,PEUGEOT,207,Benzine,0,0,142.29,71.14,289.6,6290,1,2012
12,LV,Passenger car,Regular,55,1530,Zila,2002,11,TOYOTA,YARIS VERSO,Diesel,0,0,142.29,71.14,217.4,3050,1,2013
13,LV,Passenger car,Regular,55,1530,Zila,2002,12,TOYOTA,YARIS VERSO,Diesel,1,0,140,70,210,3200,1,2014
14,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6060,1,2012
15,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,5660,1,2012
16,LV,Passenger car,Regular,66,1525,Gaiši peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6460,1,2012
17,LV,Passenger car,Regular,66,1525,Peleka,2007,5,TOYOTA,YARIS,Diesel,0,1,142.29,71.14,277.8,6860,1,2012
18,LV,Passenger car,Regular,66,1600,Oranža un peleka,2012,2,TOYOTA,VERSO S,Diesel,1,0,140,70,495.9,15300,1,2014
19,LV,Passenger car,Regular,66,1695,Gaiši peleka,2006,7,TOYOTA,COROLLA,Diesel,1,1,142.29,71.14,239.2,6150,1,2013
20,LV,Passenger car,Regular,66,1695,Gaiši peleka,2006,6,TOYOTA,COROLLA,Diesel,1,1,142.29,71.14,260.4,6380,1,2012
21,LV,Passenger car,Regular,66,1760,Gaiši zila,2007,5,TOYOTA,AURIS,Diesel,0,1,142.29,71.14,278,6680,1,2012
22,LV,Passenger car,Regular,66,1760,Tumši peleka,2007,5,TOYOTA,AURIS,Diesel,0,1,142.29,71.14,278,8480,1,2012
23,LV,Passenger car,Regular,66,1780,Gaiši peleka,2007,5,TOYOTA,COROLLA,Diesel,0,1,140,70,260.9,7700,0.816438356,2012
24,LV,Passenger car,Regular,66,1780,Gaiši peleka,2013,1,TOYOTA,COROLLA,Diesel,1,1,140,70,376,16700,1,2014
25,LV,Passenger car,Regular,66,1780,Gaiši peleka,2013,0,TOYOTA,COROLLA,Diesel,0,1,142.29,71.14,360.3,19550,1,2013
26,LV,Passenger car,Regular,0,2430,Peleka,2001,11,VOLKSWAGEN,SHARAN,Diesel,1,0,142.29,42.69,45.6,8160,0.145205479,2012
27,LV,Passenger car,Regular,85,1810,Gaiši peleka,2001,11,VOLKSWAGEN,BORA,Benzine,1,0,142.29,42.69,147.4,7370,0.745205479,2012
28,LV,Passenger car,Regular,118,2040,Kiršu,2013,0,VOLKSWAGEN,CC,Benzine,0,1,142.29,71.14,576.6,25810,1,2013
29,LV,Passenger car,Regular,202,2540,Gaiši peleka,2003,10,AUDI,A8,Diesel,0,0,142.29,71.14,402.7,8740,0.109589041,2013
30,LV,Passenger car,Regular,280,2475,Balta,2012,2,BMW,550,Diesel,0,1,2800,70,895.7,74400,0.695890411,2014
31,LV,Passenger car,Regular,50,1190,Zila,2013,1,TOYOTA,AYGO,Benzine,1,1,140,70,179,11000,0.580821918,2014
32,LV,Passenger car,Regular,51,1430,Violeta,2013,0,TOYOTA,YARIS,Benzine,0,1,142.29,71.14,354.8,12750,1,2013
33,LV,Passenger car,Regular,92,1900,Bruna tonmainas,2013,1,FORD,FOCUS,Benzine,1,1,140,70,410,19300,1,2014
34,LV,Passenger car,Regular,92,1900,Bruna tonmainas,2013,0,FORD,FOCUS,Benzine,0,0,142.29,71.14,469.8,19300,0.82739726,2013
35,LV,Passenger car,Regular,92,1900,Melna,2014,0,FORD,FOCUS,Benzine,0,1,140,70,235,22350,0.506849315,2014
36,LV,Passenger car,Regular,92,1900,Sarkana,2014,0,FORD,FOCUS,Benzine,0,1,140,70,189.2,17800,0.421917808,2014
37,LV,Passenger car,Regular,80,1945,Zila,2014,0,NISSAN,LEAF,Electricity,0,0,300,70,742.6,37280,1,2014
38,LV,Passenger car,Regular,63,1615,Gaiši bruna,2013,1,SKODA,RAPID,Benzine,1,0,140,70,452.8,14980,1,2014
39,LV,Passenger car,Regular,77,1959,Peleka,2014,0,SKODA,YETI,Benzine,0,1,140,70,548.5,21850,1,2014
40,LV,Passenger car,Regular,66,1740,Gaiši peleka,2011,1,DACIA,DUSTER,Diesel,0,0,142.29,71.14,397.7,12550,1,2012
41,LV,Passenger car,Regular,66,1954,Gaiši peleka,2011,1,RENAULT,KANGOO,Diesel,0,0,142.29,71.14,488,11890,1,2012
42,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,3,NISSAN,NV200,Diesel,1,0,140,70,377.5,13500,1,2014
43,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,1,NISSAN,NV200,Diesel,0,0,142.29,71.14,448,17160,1,2012
44,LV,Passenger car,Regular,66,2030,Gaiši peleka,2011,2,NISSAN,NV200,Diesel,1,0,142.29,71.14,464.6,16560,1,2013
45,LV,Passenger car,Regular,78,1930,Bruna,2010,3,NISSAN,QASHQAI,Diesel,1,1,140,70,353,15000,1,2013
46,LV,Passenger car,Regular,78,1930,Bruna,2010,2,NISSAN,QASHQAI,Diesel,1,1,140,70,364,16810,1.002739726,2012
47,LV,Passenger car,Regular,78,1930,Sarkana,2010,4,NISSAN,QASHQAI,Diesel,1,1,140,70,358.3,14500,1,2014
48,LV,Passenger car,Regular,78,1930,Sarkana,2010,3,NISSAN,QASHQAI,Diesel,1,1,142.29,71.14,470.5,15250,1,2013
49,LV,Passenger car,Regular,80,1875,Bruna,2014,0,DACIA,DUSTER,Diesel,0,1,140,70,384.7,18300,1,2014
50,LV,Passenger car,Regular,81,1750,,2011,1,NISSAN,JUKE,Diesel,1,1,140,70,554.3,18800,1,2012
51,LV,Passenger car,Regular,0,1795,Gaiši zila,2001,12,CITROEN,XSARA PICASSO,Benzine,0,0,142.29,71.14,158.7,3480,1,2013
52,LV,Passenger car,Regular,47,1570,Peleka,2006,7,VOLKSWAGEN,POLO,Benzine,0,0,142.29,42.69,208.2,2830,1,2013
53,LV,Passenger car,Regular,75,1944,Gaiši peleka,2006,8,SEAT,TOLEDO,Benzine,0,0,140,70,290.1,4510,1,2014
54,LV,Passenger car,Regular,77,1695,Gaiši peleka,2006,7,MAZDA,3,Benzine,1,1,142.29,71.14,230.1,5980,1,2013
55,LV,Passenger car,Regular,77,1725,Peleka,2013,0,SKODA,RAPID,Diesel,0,0,142.29,71.14,479.2,20520,1,2013
56,LV,Passenger car,Regular,47,1570,Zala,2007,6,VOLKSWAGEN,POLO,Benzine,1,0,142.29,42.69,276.7,4700,1,2013
57,LV,Passenger car,Regular,47,1600,Peleka,2006,6,SKODA,FABIA,Benzine,1,0,142.29,71.14,2,6150,0.04109589,2012
58,LV,Passenger car,Regular,51,1565,Gaiši peleka,2008,4,SKODA,FABIA,Benzine,1,1,140,70,304,6800,1,2012
59,LV,Passenger car,Regular,59,1425,Balta,2014,0,NISSAN,MICRA,Benzine,1,1,140,70,531.6,10100,1,2014
60,LV,Passenger car,Regular,63,1605,Peleka,2011,3,OPEL,CORSA,Benzine,0,0,140,70,293.5,7200,1,2014
61,LV,Passenger car,Regular,57,1515,Gaiši peleka,2011,3,HYUNDAI,I20,Benzine,0,1,140,70,490.3,7800,0.597260274,2014
62,LV,Passenger car,Regular,62,1515,Gaiši peleka,2014,0,HYUNDAI,I20,Benzine,0,0,140,70,526.8,12300,1,2014
63,LV,Passenger car,Regular,66,1920,Gaiši peleka,2007,5,OPEL,ASTRA STATION WAGON,Diesel,1,0,142.29,71.14,321.4,8340,1.002739726,2012
64,LV,Passenger car,Regular,66,1920,Gaiši peleka,2008,6,OPEL,ASTRA STATION WAGON,Diesel,1,0,140,70,252.2,8950,1,2014
65,LV,Passenger car,Regular,66,1920,Gaiši peleka,2008,5,OPEL,ASTRA STATION WAGON,Diesel,1,0,142.29,71.14,266.7,9380,1,2013
66,LV,Passenger car,Regular,64,1480,Zila,2006,7,TOYOTA,YARIS,Benzine,1,0,140,70,186,4750,1,2013
67,LV,Passenger car,Regular,64,1480,Melna,2007,5,TOYOTA,YARIS,Benzine,1,1,142.29,71.14,253.4,6080,1,2012
68,LV,Passenger car,Regular,64,1480,Sarkana,2007,6,TOYOTA,YARIS,Benzine,1,0,140,70,220,5910,1,2013
69,LV,Passenger car,Regular,64,1480,Zila,2007,7,TOYOTA,YARIS,Benzine,1,0,140,70,286.1,5600,1,2014
70,LV,Passenger car,Regular,64,1480,Zila,2007,6,TOYOTA,YARIS,Benzine,1,0,140,70,315.1,5900,1,2013
71,LV,Passenger car,Regular,64,1480,Zila,2007,5,TOYOTA,YARIS,Benzine,1,0,142.29,71.14,257,7710,1.002739726,2012
72,LV,Passenger car,Regular,73,1470,Gaiši peleka,2012,1,TOYOTA,YARIS,Benzine,1,1,142.29,71.14,386.2,13540,0.797260274,2013
73,LV,Passenger car,Regular,73,1470,Gaiši peleka,2013,1,TOYOTA,YARIS,Benzine,1,1,140,70,149.7,13000,0.367123288,2014
74,LV,Passenger car,Regular,73,1470,Gaiši peleka,2013,0,TOYOTA,YARIS,Benzine,0,1,140,70,367,15100,1,2013
75,LV,Passenger car,Regular,73,1480,Tumši peleka,2013,1,TOYOTA,YARIS,Benzine,0,1,140,70,383,11950,1,2014
76,LV,Passenger car,Regular,147,2280,Bruna,2007,7,VOLVO,V70,Benzine,0,0,140,70,273.1,15500,1,2014
77,LV,Passenger car,Regular,147,2280,Bruna,2007,6,VOLVO,V70,Benzine,0,1,142.29,71.14,306.4,16910,1,2013
78,LV,Passenger car,Regular,150,2190,Tumši peleka,2011,3,AUDI,A6,Benzine,0,1,140,70,347.2,23420,0.539726027,2014
79,LV,Passenger car,Regular,179,2780,Melna,2012,1,VOLVO,XC90,Benzine,0,0,142.29,71.14,558.8,49210,1,2013
80,LV,Passenger car,Regular,118,3030,Gaiši bruna,2007,7,MITSUBISHI,PAJERO,Diesel,0,0,140,70,363.2,11380,1,2014
81,LV,Van,Regular,88,2759,Gaiši peleka,2008,4,PEUGEOT,EXPERT,Diesel,0,0,142.29,71.14,490.8,21940,1,2012
82,LV,Van,Regular,107,3070,Balta,2009,4,RENAULT,TRAFIC,Diesel,0,1,142.29,71.14,451.4,9720,1,2013
83,LV,Passenger car,Regular,66,1815,Bruna,2014,0,TOYOTA,AURIS,Diesel,0,1,140,70,478.9,18390,1,2014
84,LV,Passenger car,Regular,66,1815,Bruna,2014,0,TOYOTA,AURIS,Diesel,0,1,140,70,478.9,18590,1,2014
85,LV,Passenger car,Regular,0,1610,Gaiši peleka,2004,9,SKODA,FABIA,Benzine,1,0,142.29,71.14,160.1,4360,1,2013
86,LV,Passenger car,Regular,0,1610,Gaiši peleka,2004,8,SKODA,FABIA,Benzine,1,0,142.29,71.14,158.8,2820,1,2012
87,LV,Passenger car,Regular,55,1780,Sarkana,2003,9,VOLKSWAGEN,GOLF,Benzine,1,1,142.29,42.69,181.7,2050,1,2012
88,LV,Passenger car,Regular,63,1550,Gaiši peleka,2011,1,VOLKSWAGEN,POLO,Benzine,1,0,142.29,42.69,429.6,13090,1,2012
89,LV,Passenger car,Regular,63,1550,Gaiši peleka,2011,2,VOLKSWAGEN,POLO,Benzine,1,0,142.29,42.69,338.4,8960,1,2013
90,LV,Passenger car,Regular,63,1550,Gaiši peleka,2011,2,VOLKSWAGEN,POLO,Benzine,1,0,142.29,42.69,365.2,12010,1,2013
91,LV,Passenger car,Regular,63,1550,Peleka,2012,2,VOLKSWAGEN,POLO,Benzine,1,0,140,40,413.5,10000,1,2014
92,LV,Passenger car,Regular,63,1580,Gaiši peleka,2013,0,VOLKSWAGEN,POLO,Benzine,0,0,142.29,42.69,447.3,16400,1,2013
93,LV,Passenger car,Regular,63,1670,Bruna,2007,5,SKODA,ROOMSTER,Benzine,0,1,142.29,71.14,298.6,6910,1,2012
94,LV,Passenger car,Regular,90,1575,Sarkana,2010,2,AUDI,A1,Benzine,1,1,142.29,71.14,433,15760,0.701369863,2012
95,LV,Passenger car,Regular,90,1640,Oranža tonmainas,2012,2,AUDI,A1,Benzine,1,0,140,70,459.9,16200,1,2014
96,LV,Passenger car,Regular,90,1820,Gaiši peleka,2012,1,VOLKSWAGEN,GOLF,Benzine,0,0,142.29,42.69,409.2,19100,1,2013
97,LV,Passenger car,Regular,90,1820,Gaiši peleka,2012,0,VOLKSWAGEN,GOLF,Benzine,0,0,142.29,42.69,263.8,17530,0.580821918,2012
98,LV,Passenger car,Regular,90,1850,Tumši peleka,2009,3,VOLKSWAGEN,GOLF,Benzine,1,1,140,40,302.2,12400,1,2012
99,LV,Passenger car,Regular,90,1850,Peleka,2012,1,VOLKSWAGEN,GOLF,Benzine,0,0,142.29,42.69,361.3,17500,1,2013
100,LV,Passenger car,Regular,90,1850,Tumši zila,2012,0,VOLKSWAGEN,GOLF,Benzine,0,1,140,40,405.6,19100,1,2012
101,LV,Passenger car,Regular,135,2140,Balta,2012,1,KIA,SPORTAGE,Diesel,1,0,142.29,71.14,490.7,15210,1,2013
102,LV,Passenger car,Regular,100,1940,Melna,2006,8,VOLVO,S40,Diesel,1,1,140,70,242,9490,1,2014
103,LV,Passenger car,Regular,108,1960,Kiršu,2012,1,SUBARU,XV,Diesel,0,1,142.29,71.14,679.9,19920,1,2013
104,LV,Passenger car,Regular,120,2030,Gaiši peleka,2010,2,KIA,SPORTAGE,Benzine,1,1,142.29,71.14,330.5,15790,1,2012
105,LV,Passenger car,Regular,125,2290,Gaiši peleka,2008,5,MITSUBISHI,OUTLANDER,Benzine,0,1,142.29,71.14,410.3,13560,1,2013
106,LV,Passenger car,Regular,120,2400,Peleka,2011,2,VOLVO,XC70,Diesel,0,0,142.29,71.14,554.8,25700,1,2013
107,LV,Passenger car,Regular,90,1975,Bruna,2012,2,SKODA,YETI,Benzine,1,0,140,70,569.4,13730,1,2014
108,LV,Passenger car,Regular,90,1975,Bruna,2012,1,SKODA,YETI,Benzine,1,0,142.29,71.14,571.7,15360,1,2013
109,LV,Passenger car,Regular,90,2110,Balta,2013,1,VOLKSWAGEN,PASSAT,Benzine,1,1,140,40,550.9,17230,1,2014
110,LV,Passenger car,Regular,90,2110,Balta,2013,0,VOLKSWAGEN,PASSAT,Benzine,0,1,140,40,575,21330,1,2013
111,LV,Passenger car,Regular,110,2170,Gaiši peleka,2008,6,VOLKSWAGEN,TIGUAN,Benzine,1,0,140,70,386.2,14340,1,2014
112,LV,Passenger car,Regular,110,2170,Gaiši peleka,2008,5,VOLKSWAGEN,TIGUAN,Benzine,1,0,142.29,71.14,409.2,15140,1,2013
113,LV,Passenger car,Regular,110,2170,Gaiši peleka,2008,4,VOLKSWAGEN,TIGUAN,Benzine,1,1,142.29,71.14,468.4,16610,1.002739726,2012
114,LV,Passenger car,Regular,110,2170,Gaiši zila,2008,4,VOLKSWAGEN,TIGUAN,Benzine,1,0,142.29,71.14,452.6,24190,1,2012
115,LV,Passenger car,Regular,118,2080,Melna,2011,3,VOLKSWAGEN,TIGUAN,Benzine,1,1,140,70,310,16830,1,2014
116,LV,Passenger car,Regular,118,2080,Melna,2011,2,VOLKSWAGEN,TIGUAN,Benzine,1,1,142.29,71.14,346.4,18790,1,2013
117,LV,Passenger car,Regular,118,2080,Melna,2011,1,VOLKSWAGEN,TIGUAN,Benzine,1,1,142.29,71.14,397.4,20970,1,2012
118,LV,Passenger car,Regular,92,1880,Balta,2014,0,VOLKSWAGEN,GOLF SPORTSVAN,Benzine,0,1,140,70,422,19550,1,2014
119,LV,Passenger car,Regular,103,1780,Peleka,2014,0,VOLKSWAGEN,GOLF,Benzine,0,0,140,40,403.2,25670,1,2014
120,LV,Passenger car,Regular,103,1805,Zila,2013,1,SKODA,OCTAVIA,Benzine,1,1,140,70,507.4,20500,1,2014
121,LV,Passenger car,Regular,66,1810,Bruna,2013,0,HYUNDAI,I30,Diesel,0,1,142.29,71.14,461,15340,1,2013
122,LV,Passenger car,Regular,66,1910,Gaiši peleka,2012,2,HYUNDAI,I30,Diesel,0,1,140,70,401.3,12000,1,2014
123,LV,Passenger car,Regular,66,1910,Balta,2013,0,KIA,CEED,Diesel,0,1,140,70,114,17400,0.24109589,2013
124,LV,Passenger car,Regular,66,1910,Bruna,2014,0,KIA,CEED,Diesel,0,0,140,70,466,15260,1,2014
125,LV,Passenger car,Regular,70,1510,Kiršu,2008,4,MINI,ONE,Benzine,1,1,140,70,418.2,10040,1,2012
126,LV,Passenger car,Regular,66,1780,Bruna,2014,0,TOYOTA,COROLLA,Diesel,0,1,140,70,456.2,19090,1,2014
127,LV,Passenger car,Regular,66,1780,Melna,2014,0,TOYOTA,COROLLA,Diesel,0,1,140,70,433.2,19260,1,2014
128,LV,Passenger car,Regular,55,1880,Balta,2008,5,CITROEN,BERLINGO,Diesel,1,0,142.29,71.14,275.1,5890,1,2013
129,LV,Passenger car,Regular,55,2170,Balta,2014,0,PEUGEOT,PARTNER,Diesel,0,1,140,70,419,13100,1,2014
130,LV,Passenger car,Regular,66,1880,Melna,2005,9,FORD,FOCUS,Diesel,1,0,140,70,190.9,3200,1,2014
131,LV,Passenger car,Regular,66,1880,Melna,2005,7,FORD,FOCUS,Diesel,1,0,142.29,71.14,236.8,6290,1,2012
132,LV,Passenger car,Regular,66,2150,Balta,2010,3,PEUGEOT,PARTNER,Diesel,1,0,140,70,319.5,10100,1,2013
133,LV,Passenger car,Regular,66,2150,Balta,2010,2,PEUGEOT,PARTNER,Diesel,1,0,140,70,359.6,11600,1,2012
134,LV,Passenger car,Regular,70,1900,Bruna tonmainas,2011,1,FORD,FOCUS,Diesel,1,1,142.29,71.14,362.3,18700,1.002739726,2012
135,LV,Passenger car,Regular,70,1900,Bruna tonmainas,2011,1,FORD,FOCUS,Diesel,1,1,142.29,71.14,362.3,18500,1.002739726,2012
136,LV,Passenger car,Regular,80,1570,Sarkana un balta,2009,3,MINI,COOPER,Diesel,0,0,140,70,524.8,14800,1,2012
137,LV,Passenger car,Regular,80,1920,,2006,6,FORD,FOCUS C-MAX,Diesel,1,1,140,70,323.4,6600,1,2012
138,LV,Passenger car,Regular,82,2030,Balta,2011,3,PEUGEOT,3008,Diesel,1,1,140,70,355,8200,1,2014
139,LV,Passenger car,Regular,82,2030,Melna,2011,3,PEUGEOT,3008,Diesel,0,0,140,70,393,14100,1,2014
140,LV,Passenger car,Regular,84,1975,Tumši peleka,2013,1,PEUGEOT,508,Diesel,1,1,140,70,613.4,20550,1,2014
141,LV,Passenger car,Regular,85,1915,Balta,2013,0,FORD,C-MAX,Diesel,0,1,142.29,71.14,589.5,21960,1,2013
142,LV,Passenger car,Regular,66,1820,Kiršu,2009,3,HYUNDAI,I30,Diesel,0,1,142.29,71.14,413.8,7740,1,2012
143,LV,Passenger car,Regular,66,1920,Melna,2010,4,HYUNDAI,I30 CW,Diesel,1,1,140,70,401.7,7900,1,2014
144,LV,Passenger car,Regular,66,1920,Gaiši peleka,2011,3,KIA,CEED,Diesel,1,1,140,70,388,11200,1,2014
145,LV,Passenger car,Regular,66,1990,Gaiši peleka,2012,0,KIA,CEED,Diesel,0,1,140,70,519,14500,1,2012
146,LV,Passenger car,Regular,66,1990,Gaiši peleka,2012,0,KIA,CEED,Diesel,0,1,140,70,519,13900,1,2012
147,LV,Passenger car,Regular,66,1990,Peleka tonmainas,2012,1,KIA,CEED,Diesel,1,1,142.29,71.14,451.5,11210,1,2013
148,LV,Passenger car,Regular,85,1820,Gaiši peleka,2010,2,KIA,CEED,Diesel,1,1,140,70,422.9,11300,1,2012
149,LV,Passenger car,Regular,85,1920,Gaiši peleka,2011,3,HYUNDAI,I30 CW,Diesel,0,1,140,70,262.3,10400,1,2014
150,LV,Passenger car,Regular,85,1920,Peleka,2011,3,KIA,CEED,Diesel,1,1,140,70,384,12600,1,2014
151,LV,Passenger car,Regular,0,1525,Oranža,2001,11,PEUGEOT,206,Diesel,0,0,142.29,71.14,160,1710,0.487671233,2012
152,LV,Passenger car,Regular,0,1930,Gaiši peleka,2004,10,TOYOTA,RAV-4,Diesel,0,1,140,70,334.5,4900,1,2014
153,LV,Passenger car,Regular,0,1995,Gaiši peleka,2005,7,PEUGEOT,407,Benzine,0,1,142.29,71.14,239.4,5430,1,2012
154,LV,Passenger car,Regular,52,1540,Gaiši peleka,2011,3,FORD,FIESTA,Diesel,0,0,140,70,343,8200,1,2014
155,LV,Passenger car,Regular,52,1540,Gaiši peleka,2011,3,FORD,FIESTA,Diesel,0,0,140,70,343,8400,1,2014
156,LV,Passenger car,Regular,71,1510,Gaiši peleka,2006,6,HYUNDAI,GETZ,Benzine & Gas,1,0,142.29,71.14,335.5,4470,1,2012
157,LV,Passenger car,Regular,51,1640,Gaiši peleka,2008,6,SKODA,FABIA,Diesel,0,1,140,70,228,4600,1,2014
158,LV,Passenger car,Regular,51,1650,Balta,2008,6,VOLKSWAGEN,POLO,Diesel,1,0,140,40,187.9,5080,1,2014
159,LV,Passenger car,Regular,51,1650,Balta,2008,5,VOLKSWAGEN,POLO,Diesel,1,0,142.29,42.69,241.8,5400,1,2013
160,LV,Passenger car,Regular,51,1650,Zila,2008,6,VOLKSWAGEN,POLO,Diesel,0,0,140,40,196,4600,1,2014
161,LV,Passenger car,Regular,51,1650,Zila,2008,6,VOLKSWAGEN,POLO,Diesel,0,0,140,40,220,5600,1,2014
162,LV,Passenger car,Regular,51,1650,Zila,2008,6,VOLKSWAGEN,POLO,Diesel,0,0,140,40,196,4800,0.693150685,2014
163,LV,Passenger car,Regular,51,1650,Gaiši zila,2009,3,VOLKSWAGEN,POLO,Diesel,1,1,140,40,325.2,8800,1.002739726,2012
164,LV,Passenger car,Regular,51,1650,Zila,2009,5,VOLKSWAGEN,POLO,Diesel,0,0,140,40,216,6600,1,2014
165,LV,Passenger car,Regular,51,1670,Gaiši peleka,2006,6,SKODA,FABIA,Diesel,1,0,142.29,71.14,231.5,4780,1,2012
166,LV,Passenger car,Regular,51,1670,Gaiši peleka,2006,6,SKODA,FABIA,Diesel,1,0,142.29,71.14,231.5,4980,1,2012
167,LV,Passenger car,Regular,51,1670,Gaiši peleka,2006,6,SKODA,FABIA,Diesel,1,0,142.29,71.14,231.5,5180,1,2012
168,LV,Passenger car,Regular,51,1670,Gaiši peleka,2006,6,SKODA,FABIA,Diesel,0,0,142.29,71.14,231.5,5580,1,2012
169,LV,Passenger car,Regular,59,1665,Zila,2009,4,SKODA,FABIA,Diesel,1,1,142.29,71.14,326.2,6350,1,2013
170,LV,Passenger car,Regular,59,1665,Zila,2009,3,SKODA,FABIA,Diesel,1,1,142.29,71.14,378,6510,1,2012
171,LV,Passenger car,Regular,59,1760,Gaiši peleka,2008,4,SKODA,ROOMSTER,Diesel,1,1,140,70,334,6600,1,2012
172,LV,Passenger car,Regular,63,1954,Gaiši zila,2009,5,RENAULT,KANGOO,Diesel,0,0,140,70,335.1,6000,1,2014
173,LV,Passenger car,Regular,77,1695,Gaiši peleka,2006,6,MAZDA,3,Benzine,1,0,142.29,71.14,308,7710,1.002739726,2012
174,LV,Passenger car,Regular,77,1695,Gaiši peleka,2006,8,MAZDA,3,Benzine,1,0,140,70,191.5,5000,1,2014
175,LV,Passenger car,Regular,77,1695,Gaiši peleka,2006,7,MAZDA,3,Benzine,1,1,142.29,71.14,207.5,6300,1,2013
176,LV,Passenger car,Regular,90,1850,Peleka,2012,0,VOLKSWAGEN,JETTA,Benzine,0,0,142.29,42.69,421.6,18070,1.002739726,2012
177,LV,Passenger car,Regular,90,1850,Gaiši bruna,2013,1,VOLKSWAGEN,JETTA,Benzine,0,1,140,40,371.6,14300,1,2014
178,LV,Passenger car,Regular,90,1850,Gaiši peleka,2013,0,VOLKSWAGEN,JETTA,Benzine,0,1,140,40,383,18100,1,2013
179,LV,Passenger car,Regular,90,1850,Gaiši peleka,2013,0,VOLKSWAGEN,JETTA,Benzine,0,1,140,40,383,18300,1,2013
180,LV,Passenger car,Regular,90,1870,Gaiši peleka,2011,3,VOLKSWAGEN,JETTA,Benzine,1,0,140,40,339.5,16200,1,2014
181,LV,Passenger car,Regular,90,1870,Gaiši peleka,2011,2,VOLKSWAGEN,JETTA,Benzine,0,0,140,40,392.3,17200,1,2013
182,LV,Passenger car,Regular,90,1920,Gaiši zila,2010,4,SKODA,YETI,Benzine,1,1,140,70,335.5,11800,1,2014
183,LV,Passenger car,Regular,90,1920,Gaiši zila,2010,3,SKODA,YETI,Benzine,1,1,142.29,71.14,461.9,13230,1,2013
184,LV,Passenger car,Regular,90,1920,Gaiši zila,2010,2,SKODA,YETI,Benzine,1,1,142.29,71.14,404.5,15250,1,2012
185,LV,Passenger car,Regular,90,1920,Gaiši peleka,2012,0,SKODA,YETI,Benzine,0,1,142.29,71.14,197.3,17670,0.465753425,2012
186,LV,Passenger car,Regular,90,1920,Gaiši peleka,2012,0,SKODA,YETI,Benzine,0,1,142.29,71.14,197.3,17870,0.465753425,2012
187,LV,Passenger car,Regular,90,1920,Gaiši peleka,2012,0,SKODA,YETI,Benzine,0,1,142.29,71.14,197.3,17470,0.465753425,2012
188,LV,Passenger car,Regular,90,1940,Balta,2010,3,VOLKSWAGEN,GOLF,Benzine,1,1,142.29,42.69,99.9,7340,0.279452055,2013
189,LV,Passenger car,Regular,86,1870,Melna,2012,1,MITSUBISHI,ASX,Benzine,1,1,142.29,71.14,442.4,20770,1,2013
190,LV,Passenger car,Regular,90,1740,Gaiši peleka,2007,5,HYUNDAI,I30,Benzine,0,1,140,70,317.4,7400,1,2012
191,LV,Passenger car,Regular,75,1800,Gaiši peleka,2008,6,VOLKSWAGEN,GOLF,Benzine & Gas,1,1,140,40,259.8,8000,1,2014
192,LV,Passenger car,Regular,75,1800,Gaiši peleka,2008,5,VOLKSWAGEN,GOLF,Benzine & Gas,1,1,142.29,42.69,261.1,8160,1,2013
193,LV,Passenger car,Regular,75,1800,Gaiši peleka,2008,4,VOLKSWAGEN,GOLF,Benzine & Gas,0,1,142.29,42.69,279.3,10560,1,2012
194,LV,Passenger car,Regular,75,1830,Melna,2005,7,VOLKSWAGEN,GOLF,Benzine,1,0,142.29,42.69,227.7,6510,1,2012
